ruta,emo_enojo,emo_asco,emo_miedo,emo_feliz,emo_triste,emo_sorpresa,emo_neutro,emocion_dominante,edad_estimada,genero_estimado,confianza_rostro,dx6_pred
images\ffhq_1016.png,0.18058425903320313,0.017494145780801773,0.502998411655426,0.12489555031061172,0.6738191223144532,0.00027763444813899696,0.13913999557495116,sad,36,"{'Woman': np.float32(0.19950648), 'Man': np.float32(99.8005)}",0.95,Depresión
images\ffhq_1017.png,7.305222425202373e-06,5.101369637827702e-08,4.431976776686497e-05,0.9997992706298828,0.019655631855130196,1.7961318543591176e-10,0.0003571739071048796,happy,30,"{'Woman': np.float32(99.99976), 'Man': np.float32(0.00023409027)}",0.9,Feliz
images\ffhq_1018.png,0.27687424421310425,0.004918594844639301,0.10402203559875488,0.1334027796983719,0.20145828247070313,0.008159256540238857,0.6902861022949218,neutral,36,"{'Woman': np.float32(99.999985), 'Man': np.float32(1.528429e-05)}",0.91,Estrés
images\ffhq_1019.png,0.06605406284332276,0.5492658019065857,0.24883142471313477,0.10351822525262833,0.6470260620117188,0.15198442339897156,0.030040812492370606,sad,29,"{'Woman': np.float32(0.1707325), 'Man': np.float32(99.82926)}",0.92,Estrés
images\ffhq_102.png,0.0010326460469514132,2.1973690228493936e-11,0.010209310054779052,2.7270056307315826e-05,0.0004244976444169879,0.989775390625,4.598608938977122e-05,surprise,28,"{'Woman': np.float32(80.154625), 'Man': np.float32(19.84537)}",0.93,Ansiedad
images\ffhq_1020.png,0.7698981761932373,4.568793787740333e-09,0.00026831025024876,0.00012467308260966092,0.07605662822723389,2.137441697414033e-05,0.9162403106689453,neutral,41,"{'Woman': np.float32(98.61807), 'Man': np.float32(1.3819258)}",0.0,Enojado
images\ffhq_1021.png,0.00014965422451496124,5.347649948729549e-13,4.7145140342763625e-06,0.99994873046875,4.850871277994884e-07,0.0012248208513483405,0.0037464043125510216,happy,31,"{'Woman': np.float32(99.997856), 'Man': np.float32(0.0021456035)}",0.93,Feliz
images\ffhq_1022.png,0.0036972786765545607,7.117005588952452e-05,0.8776494264602661,0.6673107147216797,0.18077638745307922,0.2483774721622467,0.319583625793457,happy,29,"{'Woman': np.float32(1.1825652), 'Man': np.float32(98.81743)}",0.94,Ansiedad
images\ffhq_1023.png,0.041016098111867905,0.3389001786708832,0.0782988977432251,0.8607717895507813,0.01899661898612976,0.23147627711296082,0.035818772315979006,happy,25,"{'Woman': np.float32(0.01778372), 'Man': np.float32(99.98222)}",0.93,Feliz
images\ffhq_1024.png,0.427802175283432,0.013748401775956154,0.03246586561203003,0.9233367156982422,0.30786237120628357,0.2177937775850296,0.03452528476715088,happy,36,"{'Woman': np.float32(99.99979), 'Man': np.float32(0.00021908483)}",0.95,Feliz
images\ffhq_1025.png,1.4224475819446525e-07,2.1227755734574813e-17,0.030417732894420624,0.1554194986820221,0.05164964497089386,1.2636923452102877e-10,0.9976251220703125,neutral,27,"{'Woman': np.float32(99.692245), 'Man': np.float32(0.30775166)}",0.9,Neutral
images\ffhq_1026.png,0.018873529434204103,0.0062128836289048195,0.02992514371871948,0.0009823688305914402,0.9398009490966797,2.8132006264058873e-05,0.011328111886978149,sad,32,"{'Woman': np.float32(0.7193175), 'Man': np.float32(99.28068)}",0.94,Depresión
images\ffhq_1027.png,0.32466021180152893,8.380309424182997e-08,0.040329084396362305,0.007087445352226496,0.07845280647277832,0.030252262949943542,0.8775981140136718,neutral,26,"{'Woman': np.float32(98.44971), 'Man': np.float32(1.5502957)}",0.9,Neutral
images\ffhq_1028.png,0.001323605771176517,1.595030463502449e-14,0.02296018972992897,4.896573955193162e-07,0.9996882629394531,5.016876247765367e-09,0.0068847984075546265,sad,45,"{'Woman': np.float32(1.6278933), 'Man': np.float32(98.372116)}",0.94,Depresión
images\ffhq_1029.png,0.2025209367275238,0.0001614662178326398,0.048690151423215866,0.4496597671508789,0.05758880823850632,0.18676015734672546,0.5453829956054688,neutral,41,"{'Woman': np.float32(99.97541), 'Man': np.float32(0.024591567)}",0.89,Feliz
images\ffhq_103.png,0.10434556752443314,1.710428944746295e-13,0.0033703658264130354,6.575091138216749e-09,0.010375994257628918,3.279818777679466e-11,0.9988190460205079,neutral,34,"{'Woman': np.float32(0.015382766), 'Man': np.float32(99.98461)}",0.95,Neutral
images\ffhq_1030.png,0.13416011810302733,0.688267707824707,0.7813121795654296,0.5709397196769714,0.05829105854034424,0.259926438331604,0.011045347452163696,fear,29,"{'Woman': np.float32(0.0012665682), 'Man': np.float32(99.99873)}",0.91,Estrés
images\ffhq_1031.png,4.966926663799859e-15,6.463957913365962e-35,1.2240235595838805e-23,1.0,1.7942141997525024e-15,3.643026237460886e-16,2.4934549855970545e-06,happy,50,"{'Woman': np.float32(2.2424197), 'Man': np.float32(97.757576)}",0.91,Feliz
images\ffhq_1032.png,0.2783564329147339,3.8834190263514756e-07,0.32221493124961853,0.00013449395191855729,0.0341457986831665,0.0006844047456979752,0.959840316772461,neutral,24,"{'Woman': np.float32(0.81255007), 'Man': np.float32(99.187454)}",0.9,Neutral
images\ffhq_1033.png,0.13532039523124695,0.006141261197626591,0.007349825464189053,0.2924473571777344,0.3595281219482422,1.726573464111425e-05,0.34653629302978517,sad,31,"{'Woman': np.float32(99.99945), 'Man': np.float32(0.0005505527)}",0.92,Depresión
images\ffhq_1034.png,0.00011727497621905059,2.503122402686131e-07,0.29689434051513675,0.5595002746582032,0.02487048864364624,3.564468897820916e-06,0.11873365402221679,happy,17,"{'Woman': np.float32(99.96721), 'Man': np.float32(0.032801002)}",0.94,Feliz
images\ffhq_1035.png,0.03191349506378174,0.0004669432819355279,0.144809290766716,0.9288229370117187,0.2686053514480591,0.000371876492863521,0.03512109994888306,happy,32,"{'Woman': np.float32(2.9171298), 'Man': np.float32(97.08288)}",0.0,Feliz
images\ffhq_1036.png,0.0008313384605571628,2.377142891418771e-06,0.0009068904328159988,0.9284947204589844,0.005329526960849762,0.001893172855488956,0.07141569137573242,happy,26,"{'Woman': np.float32(0.29727226), 'Man': np.float32(99.702736)}",0.92,Feliz
images\ffhq_1038.png,0.010375930927693844,0.00023121018602978438,0.011075900793075561,0.8821219635009766,0.011713519096374511,0.01578224077820778,0.09482474327087402,happy,27,"{'Woman': np.float32(92.52914), 'Man': np.float32(7.470862)}",0.93,Feliz
images\ffhq_1039.png,3.8079258496415136e-11,2.268833335757807e-16,3.2683087464700777e-13,0.9981894683837891,1.503485975717922e-07,3.8363401344554404e-09,0.1810573935508728,happy,30,"{'Woman': np.float32(3.8880308), 'Man': np.float32(96.11197)}",0.98,Feliz
images\ffhq_104.png,0.09626386642456054,0.8628794860839843,0.013069766759872436,2.1983692931826226e-05,0.027716350555419923,1.8917146007879637e-05,0.007015220820903778,disgust,26,"{'Woman': np.float32(0.54077107), 'Man': np.float32(99.45923)}",0.95,Estrés
images\ffhq_1040.png,1.7829201226504665e-07,1.323531388652821e-11,2.6444303102834965e-07,0.9977313995361328,3.098923116340302e-05,3.4009637602139264e-05,0.22679774463176727,happy,37,"{'Woman': np.float32(0.603976), 'Man': np.float32(99.39603)}",0.94,Feliz
images\ffhq_1041.png,0.44620212554931643,3.571011984604411e-05,0.014635356664657593,0.6818859577178955,0.27628555297851565,0.0024600669275969267,0.2560331153869629,angry,25,"{'Woman': np.float32(99.80817), 'Man': np.float32(0.19183162)}",0.88,Feliz
images\ffhq_1042.png,0.01295997854322195,2.0445899195919992e-08,0.283072829246521,0.36958086490631104,0.04614606499671936,0.005488861817866564,0.9928274536132813,neutral,26,"{'Woman': np.float32(99.90049), 'Man': np.float32(0.099508025)}",0.94,Neutral
images\ffhq_1043.png,0.6675732135772705,1.42287433391175e-07,0.017711864709854128,0.0009203895460814238,0.8777609252929688,0.0031088071409612894,0.09781124114990235,sad,30,"{'Woman': np.float32(7.6249084), 'Man': np.float32(92.37509)}",0.91,Depresión
images\ffhq_1044.png,0.09490793943405151,9.475513070356101e-05,0.014913033694028854,0.9579412841796875,0.10391081124544144,0.006697220262140036,0.039853482246398925,happy,33,"{'Woman': np.float32(99.993256), 'Man': np.float32(0.0067415605)}",0.93,Feliz
images\ffhq_1045.png,0.042697291374206546,0.00026691314997151494,0.255670964717865,0.5359979867935181,0.14757381439208983,0.009490345604717731,0.8017146301269531,neutral,50,"{'Woman': np.float32(0.215941), 'Man': np.float32(99.78405)}",0.91,Feliz
images\ffhq_1048.png,0.004541751462966204,0.00010089256102219224,0.0022057686001062393,0.010923058725893497,0.36032673716545105,3.713010698902508e-07,0.9962190246582031,neutral,47,"{'Woman': np.float32(0.10444779), 'Man': np.float32(99.895546)}",0.92,Neutral
images\ffhq_1049.png,0.023957066535949707,0.00011587946937652305,0.014978437423706055,0.11563070118427277,0.06129524707794189,0.0074715097434818745,0.8985370635986328,neutral,20,"{'Woman': np.float32(12.438456), 'Man': np.float32(87.56155)}",0.94,Neutral
images\ffhq_105.png,0.21708913147449493,0.0554802305996418,0.09735390663146973,0.688275146484375,0.11816367149353027,0.061513397842645645,0.09286646842956543,happy,42,"{'Woman': np.float32(99.97441), 'Man': np.float32(0.025585316)}",0.92,Feliz
images\ffhq_1050.png,0.01320936918258667,1.2243346961260393e-11,6.192577711772174e-05,0.00039473213837482035,0.010412784814834595,3.2437774279969744e-06,0.9763731384277343,neutral,30,"{'Woman': np.float32(2.5985036), 'Man': np.float32(97.4015)}",0.95,Neutral
images\ffhq_1051.png,0.13993988931179047,1.9960614849878766e-07,0.3035588264465332,0.042597051709890366,0.0685903263092041,8.649144547234755e-06,0.9265486145019531,neutral,29,"{'Woman': np.float32(94.21239), 'Man': np.float32(5.7876134)}",0.96,Neutral
images\ffhq_1052.png,0.22338292002677917,2.5722300733832526e-07,0.13879337310791015,0.04269327595829964,0.011193299293518066,0.6776679229736328,0.16968469619750975,surprise,32,"{'Woman': np.float32(57.526905), 'Man': np.float32(42.47309)}",0.94,Ansiedad
images\ffhq_1054.png,0.03809140205383301,7.480253572111906e-08,0.5931140780448914,0.02844936028122902,0.19831335067749023,0.00019584405526984483,0.757377700805664,neutral,40,"{'Woman': np.float32(43.01177), 'Man': np.float32(56.98824)}",0.89,Ansiedad
images\ffhq_1055.png,0.2697675824165344,4.449170228326693e-05,0.02957860939204693,0.003225555643439293,0.5334943532943726,0.0032503767870366573,0.9916064453125,neutral,41,"{'Woman': np.float32(0.372559), 'Man': np.float32(99.62745)}",0.92,Depresión
images\ffhq_1056.png,0.0001517483324278146,2.105694193232921e-06,0.00011812877346528694,0.9698445892333984,0.009010535664856434,6.576974076466513e-09,0.03006251335144043,happy,23,"{'Woman': np.float32(47.873405), 'Man': np.float32(52.1266)}",0.92,Feliz
images\ffhq_1057.png,0.6484624481201172,0.0005099019617773592,0.0574663020670414,0.056977124214172364,0.09079980850219727,2.530756319174543e-06,0.2031809425354004,angry,35,"{'Woman': np.float32(16.50903), 'Man': np.float32(83.49097)}",0.0,Enojado
images\ffhq_1058.png,0.11983907222747803,6.773733184672892e-05,0.17615363001823425,0.0839183521270752,0.01384813904762268,0.004597248509526253,0.8992269897460937,neutral,35,"{'Woman': np.float32(0.10103292), 'Man': np.float32(99.898964)}",0.91,Neutral
images\ffhq_1059.png,0.5350172805786133,0.08891478180885315,0.1022158432006836,0.22557216882705688,0.35111270904541014,0.23676885664463043,0.6141654253005981,angry,39,"{'Woman': np.float32(98.02546), 'Man': np.float32(1.9745374)}",0.95,Estrés
images\ffhq_106.png,0.13712535798549652,7.500066567445174e-05,0.6824807739257812,0.0800812840461731,0.9780981540679932,0.3037339401245117,0.18314461410045624,fear,43,"{'Woman': np.float32(8.435789), 'Man': np.float32(91.56422)}",0.93,Depresión
images\ffhq_1060.png,0.021667866706848143,5.211509233049583e-06,0.24424368143081665,0.398410439491272,0.9159970879554749,0.009478706866502762,0.9626507568359375,neutral,24,"{'Woman': np.float32(0.0020460961), 'Man': np.float32(99.99795)}",0.95,Depresión
images\ffhq_1062.png,8.368512993683908e-09,2.5315261648771604e-20,6.720230621981571e-11,0.9999623107910156,2.9234268339450864e-09,1.51398698022831e-08,0.0037688456941396,happy,37,"{'Woman': np.float32(97.482666), 'Man': np.float32(2.51733)}",0.93,Feliz
images\ffhq_1063.png,0.015223491005599499,2.280719309055712e-05,0.07606564521789551,0.7519706726074219,0.654526948928833,0.028912359848618507,0.1649768829345703,happy,31,"{'Woman': np.float32(97.42833), 'Man': np.float32(2.571677)}",0.91,Feliz
images\ffhq_1064.png,4.654054919228656e-13,8.080126809513503e-23,1.736114939350909e-15,0.9998129272460937,1.318806591710242e-10,1.3679677834943504e-08,0.018715588375926018,happy,34,"{'Woman': np.float32(99.99489), 'Man': np.float32(0.0051125935)}",0.89,Feliz
images\ffhq_1065.png,0.11227486610412597,0.015589702874422073,0.20252981185913085,0.31208488464355466,0.30383771896362305,0.21530915796756744,0.06696371555328369,happy,36,"{'Woman': np.float32(92.448875), 'Man': np.float32(7.551123)}",0.93,Ansiedad
images\ffhq_1066.png,0.00011307038221275434,0.00010220057447440922,0.0004225254524499178,0.9937697601318359,0.5774942636489868,0.001697164960205555,0.043203867971897125,happy,22,"{'Woman': np.float32(99.99271), 'Man': np.float32(0.007293073)}",0.93,Feliz
images\ffhq_1067.png,0.08608365058898926,6.340371328406036e-05,0.7114000916481018,0.8531553649902344,0.11663723737001419,0.03064601421356201,0.10705686569213867,happy,29,"{'Woman': np.float32(0.011401599), 'Man': np.float32(99.988594)}",0.95,Ansiedad
images\ffhq_1068.png,3.8494043110404164e-05,6.183704243101218e-11,3.722958865637338e-07,0.9909976196289062,0.0035852997098118067,9.251994583792111e-07,0.8966015577316284,happy,38,"{'Woman': np.float32(24.585094), 'Man': np.float32(75.4149)}",0.98,Feliz
images\ffhq_1069.png,0.007781920954585075,3.385072204764583e-07,0.008678446523845196,0.6705161285400391,0.00261584366671741,0.1353706270456314,0.3279393768310547,happy,39,"{'Woman': np.float32(0.061943267), 'Man': np.float32(99.93806)}",0.9,Feliz
images\ffhq_107.png,0.29123916625976565,0.08689615875482559,0.15068404197692872,0.00047779150190763175,0.4948076629638672,0.011959468014538288,0.062275853157043454,sad,35,"{'Woman': np.float32(96.52267), 'Man': np.float32(3.4773324)}",0.93,Depresión
images\ffhq_1070.png,0.008557874709367752,4.0090326614006244e-09,0.02738624334335327,0.26681992411613464,0.6997615814208984,0.001546400017105043,0.27008298873901365,sad,28,"{'Woman': np.float32(1.0554523), 'Man': np.float32(98.94455)}",0.95,Depresión
images\ffhq_1071.png,0.025111241340637205,0.019833283498883247,0.09190193176269532,0.03760160133242607,0.8754474639892578,0.0002472983323968947,0.6962623000144958,sad,36,"{'Woman': np.float32(0.22281097), 'Man': np.float32(99.77719)}",0.91,Depresión
images\ffhq_1073.png,0.9902198791503907,0.0006181794451549649,0.05492081493139267,1.4735745423877233e-07,0.3820970356464386,0.0023544197902083397,0.5380195379257202,angry,46,"{'Woman': np.float32(0.054350093), 'Man': np.float32(99.94565)}",0.93,Enojado
images\ffhq_1074.png,0.0085630863904953,4.2803083488252014e-05,0.6235770034790039,0.15341119468212128,0.05307566165924072,0.140258327126503,0.320324592590332,fear,26,"{'Woman': np.float32(0.00861143), 'Man': np.float32(99.991394)}",0.96,Ansiedad
images\ffhq_1075.png,0.5995386123657227,0.0623440183699131,0.024835078716278075,0.0022478236351162195,0.3741393280029297,0.002258156193420291,0.08184438943862915,angry,27,"{'Woman': np.float32(48.63269), 'Man': np.float32(51.367313)}",0.97,Estrés
images\ffhq_1076.png,1.6672023761543642e-08,7.39090880104475e-15,3.14114068089566e-10,0.9994811248779297,1.889742762273272e-08,1.0939090770989424e-06,0.05188639461994171,happy,35,"{'Woman': np.float32(99.81761), 'Man': np.float32(0.18239288)}",0.89,Feliz
images\ffhq_1077.png,0.2919510006904602,0.00034094188595190644,0.06216573342680931,0.9069818115234375,0.548305332660675,0.12781989574432373,0.08271238327026367,happy,29,"{'Woman': np.float32(0.08745543), 'Man': np.float32(99.912544)}",0.95,Feliz
images\ffhq_1078.png,1.0036933417723048e-06,1.864513959892733e-10,0.07305590063333511,0.8747225952148437,0.01685885153710842,0.0001409833930665627,0.124376802444458,happy,30,"{'Woman': np.float32(0.0016895001), 'Man': np.float32(99.99831)}",0.95,Feliz
images\ffhq_1079.png,0.03718698740005493,6.672413292108104e-05,0.05307027816772461,0.026273466646671295,0.09321864128112793,0.0011495263315737247,0.8162491607666016,neutral,23,"{'Woman': np.float32(0.02413209), 'Man': np.float32(99.97587)}",0.9,Neutral
images\ffhq_108.png,0.004144127015024424,1.4437486796359256e-11,0.05233372211456299,0.03389594331383705,2.1022185592300957e-06,0.9472858428955078,2.9727620365349594e-10,surprise,24,"{'Woman': np.float32(0.2968755), 'Man': np.float32(99.703125)}",0.93,Ansiedad
images\ffhq_1080.png,7.576210805382289e-07,4.1065293526765245e-12,1.3186322576075327e-06,0.9301445770263672,5.251826223684475e-06,0.00021220633061602712,0.06985323905944824,happy,35,"{'Woman': np.float32(58.504017), 'Man': np.float32(41.49598)}",0.91,Feliz
images\ffhq_1081.png,0.7349234223365784,0.0001365634088870138,0.012154556810855865,0.6921905517578125,0.1390763223171234,0.04786846041679382,0.2984678840637207,happy,30,"{'Woman': np.float32(85.37469), 'Man': np.float32(14.625313)}",0.95,Enojado
images\ffhq_1082.png,1.9983426682301797e-05,1.0491435276094307e-08,1.3207878737375722e-06,0.8713640594482421,0.0023235913831740618,0.0008549410267733037,0.12860398292541503,happy,38,"{'Woman': np.float32(99.999725), 'Man': np.float32(0.00027052578)}",0.91,Feliz
images\ffhq_1083.png,0.06543424606323242,0.03454818204045296,0.8457553100585937,0.006877994630485773,0.5972086787223816,0.0789079475402832,0.35160964727401733,fear,35,"{'Woman': np.float32(0.41790876), 'Man': np.float32(99.582085)}",0.0,Depresión
images\ffhq_1084.png,0.180018367767334,0.8184748840332031,0.147568941116333,0.0027472604997456074,1.538701690151356e-05,0.0003200182400178164,1.5035539036034606e-05,disgust,29,"{'Woman': np.float32(98.4432), 'Man': np.float32(1.5568007)}",0.0,Estrés
images\ffhq_1085.png,0.005258645862340927,4.242301940848847e-07,0.03790159523487091,0.981759033203125,0.2900417149066925,0.006063040811568499,0.014848376512527467,happy,41,"{'Woman': np.float32(2.432549), 'Man': np.float32(97.567444)}",0.93,Feliz
images\ffhq_1087.png,0.3191778361797333,1.641929259221797e-07,0.25830961227416993,0.001724908477626741,0.12388739585876465,0.14343202114105225,0.6131596374511719,neutral,16,"{'Woman': np.float32(9.66946), 'Man': np.float32(90.33054)}",0.94,Estrés
images\ffhq_1088.png,0.015555345453321934,2.1240060959826224e-05,0.05045096576213837,0.9911946868896484,0.3583117425441742,0.019835039973258972,0.43634817004203796,happy,46,"{'Woman': np.float32(86.10377), 'Man': np.float32(13.896233)}",0.94,Feliz
images\ffhq_1089.png,0.958721935749054,0.00041928477003239095,0.1172718906402588,0.060315776616334915,0.044895172119140625,0.0011406104313209653,0.8276270294189453,neutral,25,"{'Woman': np.float32(94.67302), 'Man': np.float32(5.326984)}",0.92,Enojado
images\ffhq_109.png,0.14827802658081055,0.001113962847739458,0.08034334182739258,0.0004932763404212892,0.7276868438720703,0.008125042542815208,0.0435945463180542,sad,24,"{'Woman': np.float32(0.013105453), 'Man': np.float32(99.986885)}",0.92,Depresión
images\ffhq_1090.png,0.00013379672600422055,5.069200961771436e-11,0.011671873740851879,0.26292402267456055,0.00891684740781784,0.009310963563621044,0.7367756652832032,neutral,14,"{'Woman': np.float32(35.149387), 'Man': np.float32(64.85062)}",0.94,Neutral
images\ffhq_1091.png,4.860215767621412e-07,5.189595091946931e-18,8.64948650897146e-12,0.980140380859375,8.816672334432951e-07,5.292976013038242e-08,0.019859658479690553,happy,25,"{'Woman': np.float32(35.31537), 'Man': np.float32(64.68464)}",0.92,Feliz
images\ffhq_1092.png,0.028800017833709717,2.6569108783729145e-13,4.4932349396731297e-07,1.6713103832444176e-05,0.10619881629943848,3.5571570103538896e-13,0.8650010681152344,neutral,40,"{'Woman': np.float32(0.112356015), 'Man': np.float32(99.88764)}",0.0,Neutral
images\ffhq_1093.png,0.9796473383903503,0.0001807546359486878,0.6717890930175782,0.024929921627044677,0.0106960129737854,0.06400678157806397,0.21877986907958985,fear,37,"{'Woman': np.float32(93.26885), 'Man': np.float32(6.731143)}",0.94,Enojado
images\ffhq_1094.png,0.030449844896793365,4.532050184025138e-07,0.19143739342689514,0.9724274444580078,0.012413942255079746,0.014658297300338746,0.010571295022964477,happy,33,"{'Woman': np.float32(58.240795), 'Man': np.float32(41.759212)}",0.92,Feliz
images\ffhq_1095.png,0.25136560440063477,2.582976594567299e-05,0.02577382802963257,0.0030468127224594355,0.5550709915161133,0.007814180105924606,0.167680721282959,sad,34,"{'Woman': np.float32(0.18835373), 'Man': np.float32(99.811646)}",0.92,Depresión
images\ffhq_1096.png,0.13912197947502136,0.00012683391105383635,0.12026136398315429,0.05761455535888672,0.016187736988067625,0.043147120624780655,0.8041123962402343,neutral,26,"{'Woman': np.float32(90.14251), 'Man': np.float32(9.8574915)}",0.91,Neutral
images\ffhq_1097.png,0.0962704849243164,0.14295347034931183,0.015401239395141602,0.2774284780025482,0.28454660415649413,0.11552330106496811,0.598422622680664,neutral,26,"{'Woman': np.float32(1.1101765e-05), 'Man': np.float32(99.999985)}",0.95,Neutral
images\ffhq_1098.png,4.791814376403636e-07,3.113652244767103e-15,3.947905895529402e-07,0.9993535614013672,3.887203376962134e-07,0.06163831800222397,0.003011723980307579,happy,35,"{'Woman': np.float32(0.22145249), 'Man': np.float32(99.77854)}",0.94,Feliz
images\ffhq_1099.png,0.008874727413058281,4.586273305573485e-10,1.1288587302260567e-05,0.9899085998535156,0.000652574235573411,0.013914396055042744,0.9856966137886047,happy,33,"{'Woman': np.float32(0.04870779), 'Man': np.float32(99.951294)}",0.94,Feliz
images\ffhq_11.png,0.7763140869140625,0.007348472718149424,0.1825960922241211,0.029143998622894286,0.08609511703252792,0.8348761796951294,0.26626741886138916,angry,39,"{'Woman': np.float32(3.7324092), 'Man': np.float32(96.26759)}",0.9,Estrés
images\ffhq_110.png,0.6396058797836304,0.055386461317539215,0.8845446014404297,0.007187367416918278,0.06687939643859864,0.030813188552856446,0.010741130113601685,fear,29,"{'Woman': np.float32(99.999985), 'Man': np.float32(6.432419e-06)}",0.95,Enojado
images\ffhq_1100.png,0.002793285297229886,0.0005907102604396641,0.5988861322402954,0.9722504425048828,0.11695361137390137,0.06887234002351761,0.019868544340133666,happy,30,"{'Woman': np.float32(0.0060392553), 'Man': np.float32(99.99396)}",0.92,Feliz
images\ffhq_1101.png,0.01866833448410034,0.00032243542955257,0.7006319165229797,0.05096716806292534,0.2973441505432129,0.0005221678293310106,0.6764631652832032,neutral,25,"{'Woman': np.float32(78.586105), 'Man': np.float32(21.4139)}",0.94,Ansiedad
